"GEO";"GEO_OBJECT";"SEX";"AGE";"EP_MEASURE";"OBS_STATUS_FR";TIME_PERIOD;OBS_VALUE
"13";"DEP";"_T";"_T";"POP";"PROV";2024;2083682
"85";"DEP";"_T";"_T";"POP";"PROV";2024;717667
"79";"DEP";"_T";"_T";"POP";"PROV";2024;374890
"43";"DEP";"_T";"_T";"POP";"PROV";2024;228010
"75";"DEP";"_T";"_T";"POP";"PROV";2024;2070806
"09";"DEP";"_T";"_T";"POP";"PROV";2024;156304
"86";"DEP";"_T";"_T";"POP";"PROV";2024;437691
"30";"DEP";"_T";"_T";"POP";"PROV";2024;772243
"971";"DEP";"_T";"_T";"POP";"PROV";2024;381909
"69";"DEP";"_T";"_T";"POP";"PROV";2024;1924716
"88";"DEP";"_T";"_T";"POP";"PROV";2024;354450
"10";"DEP";"_T";"_T";"POP";"PROV";2024;311187
"78";"DEP";"_T";"_T";"POP";"PROV";2024;1483576
